Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
1STCUS,"First Custodian Fund India Ltd.,",FIRST CUSTODIAN FUND (INDIA) LTD.,XT,N,D,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
20MICRONS,20 Microns Limited,20 MICRONS LTD.,B ,N,N,100,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
21STCENMGM,Twentyfirst Century Management Serv,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD.,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
3IINFOTECH,3i Infotech limited,3I INFOTECH LTD.,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3MINDIA,3M India Ltd.,3M INDIA LTD.,A ,N,N,100,Diversified,Diversified,Diversified,Diversified
3PLAND,3P LAND HOLDINGS LTD.,3P Land Holdings Ltd,B ,N,N,100,Financial Services,Financial Services,Finance,Investment Company
4THGEN,Fourth Generation Information Systems Ltd,FOURTH GENERATION INFORMATION SYSTEMS LTD.,XT,N,N,100,Information Technology,Information Technology,IT - Software,Software Products
5PAISA,5paisa Capital Limited,5paisa Capital Ltd,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,63 Moons Technologies Limited,63 Moons Technologies Ltd,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
7NR,7NR Retail Limited,7NR Retail Ltd,B ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
7SEASL,7SEAS ENTERTAINMENT LIMITED,7Seas Entertainment Ltd,X ,N,N,100,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
7TEC,Saven Technologies Ltd.,SAVEN TECHNOLOGIES LTD.,X ,N,N,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
A2ZINFRA,A2Z Infra Engineering Limited,A2Z Infra Engineering Limited,B ,N,N,100,Industrials,Construction,Construction,"Engineering, Designing & Construction"
AADIIND,Aadi Industries Ltd,AADI INDUSTRIES LTD.,X ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AAIL,Akar Auto Industries Limited,Akar Auto Industries Ltd,X ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
